r       ,Kf      ,Km      ,      Ky      ,      Kz      ,      PSI     
  0.8000,120.0000,170.0000,    139.069160,    140.979210,      0.580416
  0.8000,170.0000, 20.0000,     53.942913,    107.062369,      0.580416
  0.8000,170.0000, 70.0000,    114.685897,    128.041580,      0.580416
  0.8000,170.0000,120.0000,    146.689748,    149.020790,      0.580416
  0.8000,170.0000,170.0000,    169.999992,    170.000000,      0.580416
  0.9000, 20.0000, 20.0000,     20.000000,     20.000000,      0.734589
  0.9000, 20.0000, 70.0000,     29.318327,     33.270563,      0.734589
  0.9000, 20.0000,120.0000,     37.074879,     46.541126,      0.734589
  0.9000, 20.0000,170.0000,     44.603416,     59.811689,      0.734589
  0.9000, 70.0000, 20.0000,     47.752110,     56.729437,      0.734589
  0.9000, 70.0000, 70.0000,     70.000000,     70.000000,      0.734589
  0.9000, 70.0000,120.0000,     81.094451,     83.270563,      0.734589
  0.9000, 70.0000,170.0000,     90.195884,     96.541126,      0.734589
  0.9000,120.0000, 20.0000,     64.734904,     93.458874,      0.734589
  0.9000,120.0000, 70.0000,    103.583094,    106.729437,      0.734589
  0.9000,120.0000,120.0000,    119.999998,    120.000000,      0.734589
  0.9000,120.0000,170.0000,    131.767267,    133.270563,      0.734589
  0.9000,170.0000, 20.0000,     76.228982,    130.188311,      0.734589
  0.9000,170.0000, 70.0000,    131.935654,    143.458874,      0.734589
  0.9000,170.0000,120.0000,    154.818529,    156.729437,      0.734589
  0.9000,170.0000,170.0000,    169.999992,    170.000000,      0.734589
